,userID,tier,ladderPoint,level,winRate
0,DWG BeryL,"
										Challenger
									","
										1,295 LP
									","
									269
								",269
1,호잇이,"
										Challenger
									","
										1,284 LP
									","
									296
								",627
2,JUGKlNG,"
										Challenger
									","
										1,276 LP
									","
									159
								",312
3,말할창천좀란말할,"
										Challenger
									","
										1,318 LP
									","
									255
								",571
4,첫 새싹,"
										Challenger
									","
										1,268 LP
									","
									280
								",421
5,Ucal,"
										Challenger
									","
										1,247 LP
									","
									121
								",375
6,KZ Keria,"
										Challenger
									","
										1,261 LP
									","
									324
								",724
7,Baki,"
										Challenger
									","
										1,249 LP
									","
									218
								",338
8,SBNA,"
										Challenger
									","
										1,230 LP
									","
									71
								",369
9,DWG ShowMaker,"
										Challenger
									","
										1,216 LP
									","
									221
								",247
10,Gen G Ruler,"
										Challenger
									","
										1,193 LP
									","
									296
								",596
11,무소기탄,"
										Challenger
									","
										1,179 LP
									","
									66
								",234
12,밀레니엄베이비,"
										Challenger
									","
										1,183 LP
									","
									79
								",393
13,오리지널찰떡쿠키,"
										Challenger
									","
										1,184 LP
									","
									84
								",226
14,난 질수없다,"
										Challenger
									","
										1,160 LP
									","
									113
								",118
15,Kanavi,"
										Challenger
									","
										1,149 LP
									","
									107
								",262
16,MCPC,"
										Challenger
									","
										1,120 LP
									","
									63
								",309
17,Gen G Peanut,"
										Challenger
									","
										1,104 LP
									","
									246
								",533
18,ZOEKlNG,"
										Challenger
									","
										1,110 LP
									","
									122
								",148
19,SKT T1 Teddy,"
										Challenger
									","
										1,109 LP
									","
									142
								",334
20,SKT T1 Clid,"
										Challenger
									","
										1,107 LP
									","
									279
								",529
21,LNG  Light,"
										Challenger
									","
										1,101 LP
									","
									165
								",599
22,Jin Air Kellin,"
										Challenger
									","
										1,094 LP
									","
									303
								",499
23,읽씹맨,"
										Challenger
									","
										1,086 LP
									","
									228
								",227
24,하나의 풍경,"
										Challenger
									","
										1,082 LP
									","
									170
								",337
25,pick jg,"
										Challenger
									","
										1,079 LP
									","
									76
								",389
26,Aind,"
										Challenger
									","
										1,074 LP
									","
									124
								",531
27,Dont Stop Me XD,"
										Challenger
									","
										1,067 LP
									","
									111
								",288
28,yzdzh,"
										Challenger
									","
										1,066 LP
									","
									74
								",359
29,guoke,"
										Challenger
									","
										1,065 LP
									","
									208
								",495
30,담원 쇼메이커,"
										Challenger
									","
										1,061 LP
									","
									144
								",200
31,해강고 원딜,"
										Challenger
									","
										1,040 LP
									","
									196
								",642
32,밀레니엄베이베,"
										Challenger
									","
										1,071 LP
									","
									160
								",576
33,아라가키 유이,"
										Challenger
									","
										1,047 LP
									","
									163
								",237
34,SKT T1 Haru,"
										Challenger
									","
										1,013 LP
									","
									254
								",620
35,xxxxxxi,"
										Challenger
									","
										975 LP
									","
									197
								",492
36,오뚜기3분미트볼,"
										Challenger
									","
										1,023 LP
									","
									148
								",338
37,SKT T1 Kuri2,"
										Challenger
									","
										1,011 LP
									","
									326
								",620
38,XxXxXxXxMax,"
										Challenger
									","
										1,011 LP
									","
									70
								",275
39,엘 림,"
										Challenger
									","
										1,009 LP
									","
									141
								",359
40,real gankster,"
										Challenger
									","
										1,007 LP
									","
									254
								",740
41,Azhy,"
										Challenger
									","
										1,006 LP
									","
									212
								",245
42,Lunatic Reisenn,"
										Challenger
									","
										954 LP
									","
									197
								",519
43,SKT T1 Kaan,"
										Challenger
									","
										1,004 LP
									","
									172
								",265
44,사랑해 김린아,"
										Challenger
									","
										992 LP
									","
									297
								",297
45,Gen G Bonnie,"
										Challenger
									","
										987 LP
									","
									362
								",529
46,DWG Canyon,"
										Challenger
									","
										978 LP
									","
									121
								",259
47,나경누나 이쁘다,"
										Challenger
									","
										977 LP
									","
									66
								",292
48,KZ Rascal,"
										Challenger
									","
										975 LP
									","
									321
								",393
49,SKT T1 Gumayusl,"
										Challenger
									","
										1,039 LP
									","
									112
								",347
50,찢어진 책페이지,"
										Challenger
									","
										961 LP
									","
									167
								",848
51,Lehends,"
										Challenger
									","
										935 LP
									","
									217
								",428
52,KT 비디디,"
										Challenger
									","
										948 LP
									","
									124
								",272
53,skt t1 le0,"
										Challenger
									","
										947 LP
									","
									217
								",586
54,이 차가 식기전에,"
										Challenger
									","
										944 LP
									","
									220
								",371
55,엉덩국 갱승제로,"
										Challenger
									","
										942 LP
									","
									159
								",353
56,Need time,"
										Challenger
									","
										936 LP
									","
									165
								",454
57,둥근해가떡섭니다,"
										Challenger
									","
										918 LP
									","
									242
								",257
58,이주한1,"
										Challenger
									","
										932 LP
									","
									285
								",913
59,WE 77,"
										Challenger
									","
										915 LP
									","
									117
								",508
60,bgch,"
										Challenger
									","
										942 LP
									","
									227
								",691
61,Tesnuguri,"
										Challenger
									","
										896 LP
									","
									103
								",612
62,낮잠의신,"
										Challenger
									","
										910 LP
									","
									82
								",417
63,하루 그림자,"
										Challenger
									","
										925 LP
									","
									177
								",119
64,강인한방패 애디,"
										Challenger
									","
										914 LP
									","
									343
								",658
65,HLE Bmav,"
										Challenger
									","
										960 LP
									","
									69
								",149
66,롤오브레전드1234,"
										Challenger
									","
										923 LP
									","
									211
								",346
67,인생파도나는서퍼,"
										Challenger
									","
										928 LP
									","
									94
								",570
68,6고블린3메이지,"
										Challenger
									","
										919 LP
									","
									222
								",676
69,월화수금토목,"
										Challenger
									","
										918 LP
									","
									97
								",396
70,HLE MooJin,"
										Challenger
									","
										900 LP
									","
									228
								",404
71,Lehends heir,"
										Challenger
									","
										912 LP
									","
									105
								",308
72,SN Ezsyboom,"
										Challenger
									","
										912 LP
									","
									42
								",119
73,M1nit,"
										Challenger
									","
										895 LP
									","
									133
								",338
74,BLG ADD,"
										Challenger
									","
										910 LP
									","
									121
								",116
75,KZ Deft0,"
										Challenger
									","
										909 LP
									","
									189
								",659
76,qpalzmwoaj,"
										Challenger
									","
										909 LP
									","
									48
								",153
77,야생을죽이기위해,"
										Challenger
									","
										909 LP
									","
									47
								",153
78,Im doing,"
										Challenger
									","
										950 LP
									","
									269
								",448
79,TnTttttttttttttt,"
										Challenger
									","
										910 LP
									","
									63
								",280
80,나는이재능이없다,"
										Challenger
									","
										917 LP
									","
									144
								",424
81,T2K2T2K2,"
										Challenger
									","
										916 LP
									","
									91
								",518
82,하루 그림자2,"
										Challenger
									","
										897 LP
									","
									89
								",160
83,삼중인격권장게임,"
										Challenger
									","
										882 LP
									","
									158
								",282
84,마앗 좀 볼까,"
										Challenger
									","
										875 LP
									","
									209
								",799
85,너를비웃다,"
										Challenger
									","
										894 LP
									","
									62
								",248
86,MIDKlNG,"
										Challenger
									","
										861 LP
									","
									115
								",232
87,daydayupup,"
										Challenger
									","
										868 LP
									","
									178
								",201
88,욕받이원딜러1,"
										Challenger
									","
										865 LP
									","
									144
								",215
89,Naehyun,"
										Challenger
									","
										860 LP
									","
									261
								",479
